stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
atlid_only,45916,15.965029188893324,58.25028680446543,19.463762275392295,0.017956829187574564,0.2807020997387717,0.23915937990498198,20.72689225492283,pixel,R10,qc_strict
n_liq_eq1,0,,,,,,,,pixel,R10,qc_strict
n_liq_eq2,0,,,,,,,,pixel,R10,qc_strict
n_liq_3_4,0,,,,,,,,pixel,R10,qc_strict
n_liq_ge5,102930,12.429535535884414,54.10697698538863,17.798808215212443,0.01829524554989676,0.28194913628710105,0.1512150761994383,19.12521967139471,pixel,R10,qc_strict
het_cv_lt0p25,47624,10.320770652270385,51.19822266052698,16.757038629505537,0.01635921201126181,0.2842561065249817,0.13495134954313107,18.929521911285295,pixel,R10,qc_strict
het_cv_0p25_0p75,43664,13.23692846854728,55.220220337548945,18.36197917365896,0.03436992863399246,0.2432117061844803,0.2983039610296539,18.095130177117962,pixel,R10,qc_strict
het_cv_ge0p75,11642,18.027698549579927,61.02544195275886,19.948175851365793,-0.021059908354767978,0.13476901257058874,-0.27882828247007474,21.951189290572152,pixel,R10,qc_strict
tau_thin,5220,20.08932635634442,62.53598352949773,20.103030770494403,0.014754274296629009,0.04838359303016814,3.779798607732636,18.405441830629805,pixel,R10,qc_strict
tau_mid,12748,13.197333329493734,50.05303819545112,13.636606597749768,-0.00993950474205808,0.06614584031186355,-0.8255710881859422,16.881084963489368,pixel,R10,qc_strict
tau_thick,57044,14.657521997326944,57.00092157801715,18.576004211759503,0.0721146935647008,0.17893988083404638,2.0309843642658842,7.932076266515836,pixel,R10,qc_strict
tau_very_thick,27612,5.979624829214336,47.623893526417625,17.69416723025564,-0.02288703250577154,0.020624697488989836,-0.1345433585137267,22.864644732476002,pixel,R10,qc_strict
all,103947,14.333019015494,57.8150839870054,19.667868263418875,0.0070982585571464415,0.2539101911990229,0.06279480319596435,21.70558455200708,pixel,R11,qc_strict
ocean,86288,13.384694647535282,55.41505918317751,18.438182882063927,0.014524168161413486,0.29257878954332145,0.12445521330640605,20.29751633139468,pixel,R11,qc_strict
