stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
not_water_pixel,443181,6.615564072092976,43.875973894384735,13.230017799147056,0.02319186555535782,0.3206283708698799,0.08132581175459151,13.275316222183719,sample,R11,qc_strict
phase_agree_liquid,0,,,,,,,,sample,R11,qc_strict
phase_disagree_atlid_liquid,0,,,,,,,,sample,R11,qc_strict
atlid_radar_synergy,242503,3.7019357740239243,41.75559050506644,13.6557971012276,0.026352541620170443,0.2959842972022326,0.06792087720219163,12.973377863957207,sample,R11,qc_strict
atlid_only,200678,10.13644629718311,46.30891637719134,12.715498230024188,0.04311394113951343,0.28163706172681957,0.4531508237915073,12.317992268510178,sample,R11,qc_strict
tau_thin,64739,12.263993331345446,46.53321147656384,12.271567735043377,-0.014575776655792074,0.016001475639109978,-2.681615073359214,14.118767072815423,sample,R11,qc_strict
tau_mid,73157,8.182650263009167,37.182101167563815,8.525054973057994,-0.016463582913059785,0.05778966182604088,-1.0290017333518025,12.097253651214409,sample,R11,qc_strict
tau_thick,179088,8.556464304753844,44.47489852046691,12.315238973502257,0.07312918490474013,0.17284389459226296,1.6214300973926117,4.698297048538602,sample,R11,qc_strict
tau_very_thick,95345,-3.887509520269515,44.595854523063025,19.52965046335518,-0.013897489292735734,0.037486419261134184,-0.026564302857634284,16.840923958102508,sample,R11,qc_strict
all,445919,5.602841141391855,40.354059134436845,11.546903768581533,0.032133956727420546,0.36337668114524846,0.12115668154492258,11.723719641693455,pixel,R10,qc_strict
ocean,327001,6.22403532907469,40.549442598170444,11.598805713451673,0.041963454486033176,0.39646512939055256,0.19408143638575992,11.727460686755002,pixel,R10,qc_strict
land,118918,3.8946798826549505,39.81184992911523,11.404183676799978,0.019370490387967093,0.2694682701876738,0.051199948070143775,10.857447532136424,pixel,R10,qc_strict
lat_tropics,182682,0.5599766865260092,26.790055423704374,6.978209453652944,0.04373459214060061,0.41157156759471825,0.08051328914101527,6.463389803166696,pixel,R10,qc_strict
lat_midlat,231466,8.08608801821947,45.442975475007835,13.972444853451925,0.027055881730526823,0.323280730537172,0.14449872182159215,14.40480068260396,pixel,R10,qc_strict
lat_polar,31771,16.507544888583354,60.698089658983825,20.14556047089416,0.014338510696768773,0.2536757390261694,0.1866016433875417,22.222122744019337,pixel,R10,qc_strict
dist_lt2km,273162,1.9854653663802708,29.749314636545343,8.015879135878704,0.050432511352794175,0.419876764814615,0.1333592418881867,7.886503300142587,pixel,R10,qc_strict
dist_2_5km,167905,11.222632877185305,52.734955442951154,17.047584921854693,0.014088137674580347,0.30607718635686454,0.07290178632675348,17.916845353478614,pixel,R10,qc_strict
dist_ge5km,4852,14.782245522124466,59.992504346295554,19.98669801384978,0.01130985298805619,0.25969260022072616,0.08963411117948766,21.03576566433869,pixel,R10,qc_strict
tdiff_lt3min,177926,5.652794961323328,40.141668686322205,11.470669613245844,0.03432143377881279,0.3676520423879403,0.13799993406850494,11.6017174271665,pixel,R10,qc_strict
tdiff_ge3min,267993,5.569675784964158,40.49445416622919,11.597517173865471,0.030891493961890032,0.3605473295419203,0.11209135858528954,11.791063850652929,pixel,R10,qc_strict
water_pure_pixel,444960,5.627074587776945,40.35361438841745,11.530016797276074,0.03162797189340468,0.36286769654177314,0.12007801681700277,11.72844566646916,pixel,R10,qc_strict
water_dominant_pixel,790,-6.404097881465454,39.26836546012941,19.487856542759996,0.15916499499207043,0.30745251902163534,0.22436362272234928,10.68870615305459,pixel,R10,qc_strict
mixed_pixel,806,-8.072939541708097,39.22057945789666,20.523338246723476,0.14246060015920156,0.12591135349793953,0.19426106466428358,11.40603820490896,pixel,R10,qc_strict
